"Term","rdfs:label","dct:description","rdfs:subClassOf","rdfs:seeAlso","rdfs:comment","rdfs:isDefinedBy","dct:created","sw:term_status","dct:creator","dct:date-accepted","resolution"
"MentalHealth","Mental Health","Information related to an individual's mental health.","Health","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"PhysicalHealth","Physical Health","Information related to an individual's physical health.","Health","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"FamilyHealthHistory","Family Health History","Information related to an individual's family health history.","HealthHistory","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"IndividualHealthHistory","Individual Health History","Information related to an individual's information health history.","HealthHistory","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"LifeHistory","Life History","Information about an individual’s personal history (e.g., events that happened in a person’s life, either to them or just around them which might have influenced them (WWII, 9/11)).","Historical","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"ApartmentOwned","Apartment Owned","Information on the apartement(s) owned by an individual.","HouseOwned","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"Biometric","Biometric","Biometric information on an individual.","Identifying, SpecialCategoryPersonalData","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"Name","Name","A name associated with an individual e.g. given name, nickname.","Identifying","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"OfficialID","Official ID","Information on an official identification document used by an individual.","Identifying","http://www.specialprivacy.eu/vocabs/data#Government","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"Picture","Picture","A visual representation or image of an individual e.g. profile photo.","Identifying","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"UID","UID","An unique identifier used to identify an individual.","Identifying","http://www.specialprivacy.eu/vocabs/data#UniqueId","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"Username","Username","A username used to identify an individual.","Identifying","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"Dislike","Dislike","Information relating to a user's dislikes.","Interest","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
